Gene	Gene description	Protein class	RNA cancer category	RNA TS TPM
HBA2	Hemoglobin subunit alpha 2	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transporters	Expressed in all	bone marrow: 18369.0;placenta: 4302.7
AHSP	Alpha hemoglobin stabilizing protein	Plasma proteins, Predicted intracellular proteins	Not detected	bone marrow: 881.3
EPX	Eosinophil peroxidase	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Not detected	bone marrow: 20.5
KLF1	Kruppel like factor 1	Disease related genes, Predicted intracellular proteins, Transcription factors	Not detected	bone marrow: 25.7
RHAG	Rh-associated glycoprotein	CD markers, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Not detected	bone marrow: 73.7
CR2	Complement C3d receptor 2	CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Mixed	appendix: 68.3;lymph node: 206.0;spleen: 100.2;tonsil: 153.8
XXbac-BPG32J3.22		Predicted intracellular proteins	Not detected	bone marrow: 6.6
GATA1	GATA binding protein 1	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Not detected	bone marrow: 33.2
S100A12	S100 calcium binding protein A12	Plasma proteins, Predicted intracellular proteins	Tissue enhanced	bone marrow: 2045.4
SPTA1	Spectrin alpha, erythrocytic 1	Disease related genes, Plasma proteins, Predicted intracellular proteins	Not detected	bone marrow: 47.1
IGLL1	Immunoglobulin lambda like polypeptide 1	CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins	Tissue enhanced	bone marrow: 44.2;testis: 15.8
TSPO2	Translocator protein 2	Predicted intracellular proteins, Predicted membrane proteins	Mixed	bone marrow: 30.8
CD177	CD177 molecule	Predicted secreted proteins	Tissue enhanced	bone marrow: 193.1;colon: 155.7;prostate: 105.4;rectum: 181.9
GYPA	Glycophorin A (MNS blood group)	Blood group antigen proteins, CD markers, Predicted membrane proteins	Not detected	bone marrow: 84.6
FAM129C	Family with sequence similarity 129 member C	Predicted intracellular proteins	Mixed	appendix: 13.9;bone marrow: 11.3;lymph node: 28.2;spleen: 36.9;tonsil: 9.4
FCAR	Fc fragment of IgA receptor	CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Not detected	bone marrow: 12.3
GFI1B	Growth factor independent 1B transcriptional repressor	Disease related genes, Predicted intracellular proteins, Transcription factors	Not detected	bone marrow: 23.8
MS4A1	Membrane spanning 4-domains A1	CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Mixed	appendix: 240.0;lymph node: 770.3;spleen: 468.8;tonsil: 789.8
VPREB1	Pre-B lymphocyte 1	CD markers, Predicted secreted proteins	Not detected	bone marrow: 17.1
CD5L	CD5 molecule like	Plasma proteins, Predicted secreted proteins	Tissue enriched	spleen: 787.1
CHIT1	Chitinase 1	Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins	Tissue enhanced	bone marrow: 31.3;breast: 10.9;cervix, uterine: 13.5;lung: 53.2;lymph node: 21.0
HEMGN	Hemogen	Predicted intracellular proteins	Not detected	bone marrow: 141.7;testis: 88.2
NME8	NME/NM23 family member 8	Disease related genes, Predicted intracellular proteins	Mixed	bone marrow: 8.2;testis: 18.4
EN1	Engrailed homeobox 1	Predicted intracellular proteins, Transcription factors	Tissue enhanced	adipose tissue: 1.3;breast: 1.0;lymph node: 1.9;skeletal muscle: 4.7;skin: 2.2
EPB42	Erythrocyte membrane protein band 4.2	Disease related genes, Plasma proteins, Predicted intracellular proteins	Not detected	bone marrow: 57.6
FCRL3	Fc receptor like 3	CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Mixed	appendix: 18.1;lymph node: 55.9;spleen: 36.7;tonsil: 32.3
OTOA	Otoancorin	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Not detected	spleen: 2.6;testis: 6.0
HBZ	Hemoglobin subunit zeta	Predicted intracellular proteins	Not detected	bone marrow: 2.3;placenta: 1.0;testis: 3.9
OR6N2	Olfactory receptor family 6 subfamily N member 2	G-protein coupled receptors, Predicted membrane proteins	Not detected	bone marrow: 1.1
PADI4	Peptidyl arginine deiminase 4	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Not detected	bone marrow: 71.8
PRRT4	Proline rich transmembrane protein 4	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Mixed	adipose tissue: 15.7;bone marrow: 41.2
SPIC	Spi-C transcription factor	Predicted intracellular proteins, Transcription factors	Tissue enhanced	spleen: 46.7
AICDA	Activation induced cytidine deaminase	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Tissue enhanced	appendix: 4.9;lymph node: 18.7;tonsil: 11.0
CD19	CD19 molecule	CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins	Mixed	appendix: 37.4;lymph node: 84.0;spleen: 47.4;tonsil: 68.3
GPR88	G protein-coupled receptor 88	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins	Tissue enriched	breast: 9.4;cerebral cortex: 3.1;liver: 4.9;ovary: 3.1;parathyroid gland: 4.9;spleen: 14.4
HIST1H1E	Histone cluster 1 H1 family member e	Cancer-related genes, Predicted intracellular proteins	Mixed	bone marrow: 36.2
ABCA13	ATP binding cassette subfamily A member 13	Predicted membrane proteins	Mixed	bone marrow: 29.4
ADD2	Adducin 2	Predicted intracellular proteins	Tissue enhanced	bone marrow: 40.2;cerebral cortex: 44.7
BLK	BLK proto-oncogene, Src family tyrosine kinase	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Mixed	appendix: 22.0;lymph node: 61.2;spleen: 40.6;tonsil: 51.4
CLEC17A	C-type lectin domain family 17 member A	Predicted membrane proteins	Mixed	appendix: 16.6;lymph node: 30.4;spleen: 19.2;tonsil: 28.4
CSAG3	CSAG family member 3	Predicted intracellular proteins	Mixed	lymph node: 1.7;skin: 1.2;spleen: 1.9;testis: 4.2
FCRLA	Fc receptor like A	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Tissue enriched	appendix: 31.2;lymph node: 80.5;spleen: 56.4;tonsil: 86.7
HIST2H2AC	Histone cluster 2 H2A family member c	Predicted intracellular proteins	Expressed in all	bone marrow: 23.8
P2RX5	Purinergic receptor P2X 5	Predicted intracellular proteins, Predicted membrane proteins	Mixed	appendix: 40.9;lymph node: 89.8;spleen: 74.3;tonsil: 47.1
SERPINA9	Serpin family A member 9	Predicted intracellular proteins, Predicted secreted proteins	Tissue enhanced	appendix: 17.1;lymph node: 50.4;tonsil: 66.3
TNFRSF13C	TNF receptor superfamily member 13C	CD markers, Disease related genes, Predicted membrane proteins	Mixed	appendix: 22.9;lymph node: 46.1;spleen: 43.5;tonsil: 49.9
CEBPE	CCAAT/enhancer binding protein epsilon	Predicted intracellular proteins, Transcription factors	Not detected	bone marrow: 26.0
CHRDL2	Chordin like 2	Predicted intracellular proteins, Predicted secreted proteins	Tissue enhanced	appendix: 157.7;endometrium: 128.3;gallbladder: 168.5;smooth muscle: 183.1;urinary bladder: 43.5
CST7	Cystatin F	Plasma proteins, Predicted secreted proteins	Expressed in all	bone marrow: 642.9
HBB	Hemoglobin subunit beta	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transporters	Expressed in all	bone marrow: 78046.6
MCEMP1	Mast cell expressed membrane protein 1	Predicted membrane proteins	Mixed	appendix: 27.9;bone marrow: 43.9;lung: 110.4
MEF2B	Myocyte enhancer factor 2B	Predicted intracellular proteins, Transcription factors	Not detected	appendix: 17.6;lymph node: 45.7;tonsil: 27.2
MFSD2B	Major facilitator superfamily domain containing 2B	Predicted membrane proteins	Not detected	bone marrow: 7.2
S100A8	S100 calcium binding protein A8	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Expressed in all	bone marrow: 14915.7;esophagus: 12755.4;tonsil: 4867.3
CCL3L3	C-C motif chemokine ligand 3 like 3	Predicted secreted proteins	Expressed in all	bone marrow: 7.4;gallbladder: 1.5
CCL7	C-C motif chemokine ligand 7	Cancer-related genes, Predicted membrane proteins, Predicted secreted proteins	Mixed	appendix: 3.6;bone marrow: 15.2
CCM2L	CCM2 like scaffolding protein	Plasma proteins, Predicted intracellular proteins	Expressed in all	spleen: 122.6
CD72	CD72 molecule	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	appendix: 25.1;lymph node: 71.1;spleen: 64.7;tonsil: 42.6
CLEC4M	C-type lectin domain family 4 member M	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Not detected	liver: 34.7;lymph node: 20.3;placenta: 12.4
CPLX3	Complexin 3	Predicted intracellular proteins	Not detected	prostate: 143.7;spleen: 74.6
DNTT	DNA nucleotidylexotransferase	Enzymes, Plasma proteins, Predicted intracellular proteins	Not detected	bone marrow: 18.3
DPPA4	Developmental pluripotency associated 4	Predicted intracellular proteins	Tissue enriched	bone marrow: 2.8;placenta: 3.0;testis: 7.7
FCRL2	Fc receptor like 2	CD markers, Predicted membrane proteins	Mixed	appendix: 16.3;lymph node: 28.4;spleen: 25.9;tonsil: 23.7
HBQ1	Hemoglobin subunit theta 1	Predicted intracellular proteins	Mixed	bone marrow: 14.7;cerebral cortex: 3.0
HIST1H3D	Histone cluster 1 H3 family member d	Predicted intracellular proteins	Expressed in all	bone marrow: 6.5
HIST2H2AB	Histone cluster 2 H2A family member b	Predicted intracellular proteins	Mixed	bone marrow: 4.0
IRAK1BP1	Interleukin 1 receptor associated kinase 1 binding protein 1	Predicted intracellular proteins	Mixed	bone marrow: 59.8
MCF2L2	MCF.2 cell line derived transforming sequence-like 2	Disease related genes, Predicted intracellular proteins	Not detected	adrenal gland: 10.2;cerebral cortex: 17.2;parathyroid gland: 7.7;spleen: 3.5;testis: 4.7
RGL4	Ral guanine nucleotide dissociation stimulator like 4	Predicted intracellular proteins, Predicted secreted proteins	Not detected	bone marrow: 107.4
SEC14L4	SEC14 like lipid binding 4	Predicted intracellular proteins	Tissue enhanced	bone marrow: 5.0;liver: 10.3;lung: 6.9;parathyroid gland: 10.5;testis: 7.1
SLC22A16	Solute carrier family 22 member 16	Predicted membrane proteins	Tissue enriched	bone marrow: 12.9;parathyroid gland: 16.3;testis: 38.6
SLC4A1	Solute carrier family 4 member 1 (Diego blood group)	Blood group antigen proteins, CD markers, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Tissue enriched	bone marrow: 238.0
ALAS2	5'-aminolevulinate synthase 2	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Mixed	bone marrow: 335.6
BTLA	B and T lymphocyte associated	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Mixed	appendix: 14.1;lymph node: 29.3;spleen: 14.6;tonsil: 24.7
CH17-296N19.1		Predicted secreted proteins		bone marrow: 7.3
CXCL13	C-X-C motif chemokine ligand 13	Cancer-related genes, Predicted secreted proteins	Expressed in all	appendix: 163.3;lymph node: 599.9;spleen: 423.8;tonsil: 395.7
CXCL8	C-X-C motif chemokine ligand 8	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Expressed in all	bone marrow: 2076.0
FAM9C	Family with sequence similarity 9 member C	Predicted intracellular proteins, Predicted membrane proteins	Tissue enriched	spleen: 54.4
FCER2	Fc fragment of IgE receptor II	Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins	Mixed	appendix: 21.9;lymph node: 47.4;spleen: 52.6;tonsil: 38.0
H1FX	H1 histone family member X	Plasma proteins, Predicted intracellular proteins	Expressed in all	bone marrow: 670.4
KRT73	Keratin 73	Plasma proteins, Predicted intracellular proteins	Not detected	lymph node: 2.5;skin: 12.1
LTB	Lymphotoxin beta	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Expressed in all	appendix: 18.6;lymph node: 22.1;spleen: 25.8;tonsil: 10.1
NOS3	Nitric oxide synthase 3	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Expressed in all	spleen: 71.8
RP11-277P12.6		Predicted membrane proteins	Not detected	cerebral cortex: 8.2;spleen: 6.1
SIGLEC11	Sialic acid binding Ig like lectin 11	Plasma proteins, Predicted membrane proteins	Mixed	ovary: 80.0;spleen: 31.7
TLR10	Toll like receptor 10	CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Mixed	appendix: 21.1;lymph node: 51.7;spleen: 34.7;tonsil: 45.1
ACSL6	Acyl-CoA synthetase long-chain family member 6	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Group enriched	bone marrow: 18.0;cerebral cortex: 61.9;parathyroid gland: 22.5;seminal vesicle: 29.0;testis: 51.4
ANKRD55	Ankyrin repeat domain 55	Predicted intracellular proteins	Tissue enriched	lymph node: 4.1;testis: 17.3
C17orf99	Chromosome 17 open reading frame 99	Predicted intracellular proteins, Predicted secreted proteins	Not detected	bone marrow: 5.5
CASP5	Caspase 5	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	Group enriched	appendix: 20.2;colon: 15.9;duodenum: 10.1;rectum: 14.5;small intestine: 18.9
CCR7	C-C motif chemokine receptor 7	Cancer-related genes, CD markers, G-protein coupled receptors, Predicted membrane proteins	Mixed	appendix: 88.8;lymph node: 97.1;spleen: 39.3;tonsil: 77.2
CCR9	C-C motif chemokine receptor 9	CD markers, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Not detected	appendix: 1.4;duodenum: 3.8;small intestine: 5.7;spleen: 1.2
CD79A	CD79a molecule	Cancer-related genes, CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Mixed	appendix: 263.8;lymph node: 515.1;spleen: 317.9;tonsil: 423.1
CEACAM4	Carcinoembryonic antigen related cell adhesion molecule 4	Predicted membrane proteins	Mixed	appendix: 6.7;bone marrow: 13.9;spleen: 9.0
CEACAM6	Carcinoembryonic antigen related cell adhesion molecule 6	Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins	Mixed	bone marrow: 110.7;colon: 180.6;esophagus: 173.5;gallbladder: 189.0;lung: 405.6;rectum: 233.8
CETP	Cholesteryl ester transfer protein	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Mixed	adipose tissue: 36.9;liver: 21.7;lymph node: 46.3;placenta: 50.4;spleen: 77.7
CLEC4D	C-type lectin domain family 4 member D	Predicted intracellular proteins	Tissue enriched	appendix: 10.5;bone marrow: 42.8
CLEC4G	C-type lectin domain family 4 member G	Predicted membrane proteins	Mixed	adipose tissue: 18.7;liver: 27.6;lymph node: 16.8
CNR2	Cannabinoid receptor 2	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Tissue enriched	appendix: 3.1;lymph node: 8.7;spleen: 7.9;tonsil: 6.9
DNMT3L	DNA methyltransferase 3 like	Predicted intracellular proteins, Transcription factors	Tissue enriched	kidney: 7.2;liver: 10.4;lymph node: 2.3
EREG	Epiregulin	Predicted membrane proteins	Tissue enhanced	bone marrow: 82.3
FAM221B	Family with sequence similarity 221 member B	Predicted intracellular proteins	Not detected	bone marrow: 2.4;testis: 10.3
GLYATL1P3	Glycine-N-acyltransferase like 1 pseudogene 3	Predicted intracellular proteins	Tissue enhanced	breast: 9.7;lymph node: 3.4
HIST1H1D	Histone cluster 1 H1 family member d	Predicted intracellular proteins	Mixed	bone marrow: 17.5
HIST1H2AL	Histone cluster 1 H2A family member l	Predicted intracellular proteins	Mixed	bone marrow: 5.2
HIST1H2BL	Histone cluster 1 H2B family member l	Plasma proteins, Predicted intracellular proteins	Mixed	bone marrow: 3.7
HIST1H3B	Histone cluster 1 H3 family member b	Cancer-related genes, Predicted intracellular proteins	Mixed	bone marrow: 6.1
KLRC2	Killer cell lectin like receptor C2	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Tissue enriched	cerebral cortex: 17.3;spleen: 8.1
NEU4	Neuraminidase 4	Enzymes, Predicted intracellular proteins	Group enriched	bone marrow: 2.4;cerebral cortex: 6.3;colon: 8.3;duodenum: 5.6;liver: 4.1;rectum: 3.7;small intestine: 5.3
NFE2	Nuclear factor, erythroid 2	Predicted intracellular proteins, Transcription factors	Mixed	bone marrow: 68.6
NR5A1	Nuclear receptor subfamily 5 group A member 1	Disease related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Group enriched	adrenal gland: 137.7;ovary: 36.3;spleen: 151.6
NTNG2	Netrin G2	Predicted secreted proteins	Mixed	bone marrow: 26.5;cerebral cortex: 18.5;parathyroid gland: 16.3;prostate: 10.0
OLR1	Oxidized low density lipoprotein receptor 1	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	appendix: 41.3;cerebral cortex: 32.7;lung: 146.3;placenta: 160.9
RELT	RELT tumor necrosis factor receptor	Predicted membrane proteins, Predicted secreted proteins	Mixed	bone marrow: 95.8
RETN	Resistin	Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Tissue enhanced	bone marrow: 159.4
RGS13	Regulator of G-protein signaling 13	Predicted intracellular proteins	Mixed	appendix: 14.3;lymph node: 68.4;tonsil: 36.9
RHCE	Rh blood group CcEe antigens	Blood group antigen proteins, CD markers, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Mixed	bone marrow: 28.8
S100A9	S100 calcium binding protein A9	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Expressed in all	bone marrow: 20959.3;esophagus: 24239.1
SP140	SP140 nuclear body protein	Predicted intracellular proteins, Transcription factors	Mixed	appendix: 32.8;lymph node: 64.4;spleen: 38.3;tonsil: 50.7
SPNS3	Sphingolipid transporter 3 (putative)	Predicted membrane proteins	Mixed	bone marrow: 12.4
SRGN	Serglycin	Plasma proteins, Predicted secreted proteins	Expressed in all	appendix: 1121.8;bone marrow: 5139.0
STAB2	Stabilin 2	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Not detected	spleen: 48.3
STAP1	Signal transducing adaptor family member 1	Predicted intracellular proteins	Tissue enriched	appendix: 23.8;kidney: 13.2;lymph node: 59.6;spleen: 26.6;tonsil: 56.3
TIMD4	T-cell immunoglobulin and mucin domain containing 4	Plasma proteins, Predicted membrane proteins	Tissue enriched	lymph node: 63.6;testis: 163.0
TNFRSF6B	TNF receptor superfamily member 6b	Predicted secreted proteins	Not detected	appendix: 19.0
TRIM58	Tripartite motif containing 58	Enzymes, Predicted intracellular proteins	Mixed	bone marrow: 16.1;placenta: 6.8;testis: 5.4;thyroid gland: 22.0
ACOD1	Aconitate decarboxylase 1	Enzymes, Predicted intracellular proteins	Not detected	appendix: 1.9
ADGRG3	Adhesion G protein-coupled receptor G3	G-protein coupled receptors, Plasma proteins, Predicted membrane proteins	Mixed	appendix: 19.0;bone marrow: 86.6
APLNR	Apelin receptor	G-protein coupled receptors, Predicted membrane proteins, Transporters	Expressed in all	cerebral cortex: 82.7;placenta: 146.8;spleen: 161.6
BANK1	B-cell scaffold protein with ankyrin repeats 1	Disease related genes, Predicted intracellular proteins	Mixed	appendix: 45.9;lymph node: 96.8;spleen: 77.4;thyroid gland: 21.6;tonsil: 87.2
CCL19	C-C motif chemokine ligand 19	Cancer-related genes, Predicted secreted proteins	Expressed in all	adipose tissue: 173.8;appendix: 771.8;lymph node: 703.2;tonsil: 556.0
CD79B	CD79b molecule	Cancer-related genes, CD markers, Disease related genes, Predicted membrane proteins	Expressed in all	appendix: 91.1;lymph node: 311.5;spleen: 157.4;tonsil: 189.1
CEACAM3	Carcinoembryonic antigen related cell adhesion molecule 3	CD markers, Predicted intracellular proteins, Predicted membrane proteins	Not detected	bone marrow: 28.5
CLC	Charcot-Leyden crystal galectin	Predicted intracellular proteins	Tissue enhanced	bone marrow: 285.9
CROCC2	Ciliary rootlet coiled-coil, rootletin family member 2	Predicted intracellular proteins	Tissue enhanced	fallopian tube: 8.6;spleen: 3.1
FAM178B	Family with sequence similarity 178 member B	Predicted intracellular proteins	Tissue enriched	bone marrow: 11.4;epididymis: 6.7;spleen: 16.7;testis: 7.4
FCN1	Ficolin 1	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Mixed	appendix: 323.4;bone marrow: 634.5
FUT4	Fucosyltransferase 4	Predicted membrane proteins	Expressed in all	bone marrow: 62.9
G0S2	G0/G1 switch 2	Predicted intracellular proteins	Expressed in all	adipose tissue: 956.0;bone marrow: 937.9;skeletal muscle: 240.5
GCNT7	Glucosaminyl (N-acetyl) transferase family member 7	Predicted intracellular proteins, Predicted secreted proteins	Not detected	bone marrow: 2.8
GJB6	Gap junction protein beta 6	Disease related genes, Predicted membrane proteins	Tissue enhanced	bone marrow: 48.1;cerebral cortex: 39.4;esophagus: 150.1;skin: 32.1
GYPB	Glycophorin B (MNS blood group)	Blood group antigen proteins, CD markers, Predicted membrane proteins, Predicted secreted proteins	Not detected	bone marrow: 37.2
HIST1H2BB	Histone cluster 1 H2B family member b	Predicted intracellular proteins	Mixed	bone marrow: 1.1;testis: 3.1
HIST1H3A	Histone cluster 1 H3 family member a	Predicted intracellular proteins	Mixed	bone marrow: 6.7;epididymis: 1.8;testis: 3.7
HLA-DOB	Major histocompatibility complex, class II, DO beta	Predicted intracellular proteins, Predicted membrane proteins	Expressed in all	lymph node: 19.6;spleen: 18.6;tonsil: 30.7;urinary bladder: 8.3
HMBS	Hydroxymethylbilane synthase	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Expressed in all	bone marrow: 52.8
HTR3A	5-hydroxytryptamine receptor 3A	FDA approved drug targets, Predicted membrane proteins, Transporters	Tissue enriched	appendix: 2.8;lymph node: 7.8;tonsil: 7.2
ITGAD	Integrin subunit alpha D	CD markers, Predicted membrane proteins	Mixed	spleen: 27.9
KCNT1	Potassium sodium-activated channel subfamily T member 1	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Tissue enhanced	cerebral cortex: 11.6;ovary: 3.9;skeletal muscle: 3.8;spleen: 6.8
LILRB3	Leukocyte immunoglobulin like receptor B3	CD markers, Predicted membrane proteins, Predicted secreted proteins	Mixed	adipose tissue: 5.4;appendix: 11.3;bone marrow: 9.9;lung: 9.2;spleen: 11.1;urinary bladder: 6.8
LIMD2	LIM domain containing 2	Predicted intracellular proteins	Expressed in all	appendix: 140.1;bone marrow: 71.2;lymph node: 255.5;spleen: 191.0;tonsil: 138.2
NOS2	Nitric oxide synthase 2	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Tissue enhanced	appendix: 18.9;colon: 7.0;duodenum: 12.3;rectum: 9.8;small intestine: 24.1;urinary bladder: 6.5
NPAS1	Neuronal PAS domain protein 1	Predicted intracellular proteins, Transcription factors	Tissue enhanced	cerebral cortex: 3.9;skin: 4.4;spleen: 1.8;stomach: 2.6
PF4	Platelet factor 4	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Tissue enhanced	bone marrow: 53.7;spleen: 13.4
SEMA3D	Semaphorin 3D	Predicted intracellular proteins	Mixed	spleen: 66.2;thyroid gland: 76.6
SIT1	Signaling threshold regulating transmembrane adaptor 1	Predicted membrane proteins	Mixed	appendix: 24.6;lymph node: 56.1;spleen: 21.9;tonsil: 29.6
SNCA	Synuclein alpha	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Tissue enriched	bone marrow: 160.8;cerebral cortex: 459.2
SPATC1	Spermatogenesis and centriole associated 1	Predicted intracellular proteins	Not detected	bone marrow: 6.2;testis: 21.7
